lead_indices,lead_names,metric,difference_vs12,ci_low,ci_high,valid,skipped,requested,seed
6;7,V1;V2,sensitivity_ischemia,-0.05454545454545445,-0.11515734265734268,0.005847953216374213,2000,0,2000,31415
6;7,V1;V2,sens95_ischemia,-0.042424242424242475,-0.125,0.05095541401273884,2000,0,2000,31415
6;7,V1;V2,auroc_conduction,0.005693902976272258,0.00035627001651970537,0.01094807805959684,2000,0,2000,31415
6;7,V1;V2,f1_conduction,0.028364314724913187,0.009701302444635896,0.04798697374476654,2000,0,2000,31415
6;7,V1;V2,sensitivity_conduction,0.03693931398416883,0.010467822016586182,0.06504506892895015,2000,0,2000,31415
6;7,V1;V2,sens95_conduction,0.02638522427440637,-0.017503154780035713,0.08638743455497377,2000,0,2000,31415
6;7,V1;V2,auroc_ectopy,0.009596161535385783,-0.01685758240737084,0.031966038002166894,2000,0,2000,31415
6;7,V1;V2,f1_ectopy,0.06882185634739413,-0.018061702551834178,0.16017339737887684,2000,0,2000,31415
6;7,V1;V2,sensitivity_ectopy,0.06097560975609756,-0.045990376904570966,0.16854271016650874,2000,0,2000,31415
6;7,V1;V2,sens95_ectopy,0.17073170731707316,0.030919945297706714,0.2839506172839506,2000,0,2000,31415
