lead_indices,lead_names,metric,n,mean,std,min,max,paired_mean_delta_vs12,fraction_strictly_better_vs12
0;2;3;5,I;III;aVR;aVF,sens95_af,10,0.9038888888888887,0.002683588286331368,0.9,0.9055555555555556,-0.002777777777777768,0.0
0;2;3;5,I;III;aVR;aVF,auroc_ischemia,10,0.8996525566953583,0.0009137905700109836,0.8982509924144166,0.9007742797626066,-0.007280587980977071,0.0
0;2;3;5,I;III;aVR;aVF,f1_ischemia,10,0.681903615874507,0.007635237080491982,0.668693009118541,0.6956521739130435,0.010318825809180966,0.7
0;2;3;5,I;III;aVR;aVF,sensitivity_ischemia,10,0.6793939393939394,0.008782652573448152,0.6666666666666666,0.696969696969697,0.021212121212121217,1.0
0;2;3;5,I;III;aVR;aVF,sens95_ischemia,10,0.6436363636363637,0.008943815604516635,0.6303030303030303,0.6606060606060606,0.04666666666666665,1.0
0;2;3;5,I;III;aVR;aVF,auroc_conduction,10,0.951979839225402,0.0005219848070962165,0.9513223402793898,0.9528902952587126,-0.0051463029895359004,0.0
0;2;3;5,I;III;aVR;aVF,f1_conduction,10,0.857097425346325,0.004435110382219635,0.8493894165535957,0.8625850340136054,-0.012693082579524183,0.0
0;2;3;5,I;III;aVR;aVF,sensitivity_conduction,10,0.829287598944591,0.0065875051226293845,0.820580474934037,0.8364116094986808,-0.01319261213720313,0.0
0;2;3;5,I;III;aVR;aVF,sens95_conduction,10,0.8042216358839049,0.005534611335990256,0.7941952506596306,0.8126649076517151,-0.018997361477572573,0.0
0;2;3;5,I;III;aVR;aVF,auroc_ectopy,10,0.8708845033415205,0.002614796709048643,0.866453418632547,0.8736219797795167,0.008573713371794111,1.0
0;2;3;5,I;III;aVR;aVF,f1_ectopy,10,0.38788546955079783,0.01703529758081805,0.36486486486486486,0.4266666666666667,0.004431072319857033,0.6
0;2;3;5,I;III;aVR;aVF,sensitivity_ectopy,10,0.34512195121951217,0.017294347468441173,0.32926829268292684,0.3902439024390244,-0.019512195121951202,0.2
0;2;3;5,I;III;aVR;aVF,sens95_ectopy,10,0.40731707317073174,0.020079819569477183,0.3780487804878049,0.45121951219512196,0.08902439024390245,1.0
0;3,I;aVR,macro_f1,10,0.6976265124642571,0.004333198384906145,0.6920316085945313,0.70498934123408,0.0075320270184337625,0.9
0;3,I;aVR,macro_sensitivity,10,0.7053703067495461,0.004171001606867937,0.698829778025994,0.7113829763775062,0.008806798124257387,0.9
0;3,I;aVR,auroc_af,10,0.9655335097001764,0.0009076580082231429,0.9641901822457377,0.9667328042328042,-0.0015395355673133882,0.0
0;3,I;aVR,f1_af,10,0.8853163375952168,0.003927032103439825,0.8808864265927978,0.8913649025069638,-0.01715682793111566,0.0
0;3,I;aVR,sensitivity_af,10,0.8855555555555554,0.0028688765527462245,0.8833333333333333,0.8888888888888888,-0.008888888888888969,0.0
0;3,I;aVR,sens95_af,10,0.9044444444444444,0.0023424278964210136,0.9,0.9055555555555556,-0.0022222222222222144,0.0
0;3,I;aVR,auroc_ischemia,10,0.8994190936603387,0.0008979209192479357,0.8979051212514247,0.9006878119718588,-0.00751405101599657,0.0
0;3,I;aVR,f1_ischemia,10,0.6853979408925525,0.00507273424769396,0.6788990825688074,0.6956521739130435,0.013813150827226405,0.9
0;3,I;aVR,sensitivity_ischemia,10,0.6733333333333335,0.007255872725684035,0.6606060606060606,0.6848484848484848,0.01515151515151516,0.7
0;3,I;aVR,sens95_ischemia,10,0.6290909090909091,0.012387644215560328,0.6121212121212121,0.6545454545454545,0.03212121212121209,1.0
