stage,seed,lead_names,lead_indices,prediction_sha256,n,correct,incorrect,accuracy
seed42,42,aVF;V2,5;7,bd0fd3ed8d81af4610b90dcef6edb636c7c6fe2771fa3c99d4b9eb2f164b0210,936,709,227,0.7574786324786325
seed42,42,aVF;V3,5;8,a321fdc21539138cdf924c00c4bcb529464543c28edade98f048c0aa0e6f00d9,936,698,238,0.7457264957264957
seed42,42,aVF;V4,5;9,8ad7f944e04cc276b11d4903d41de012d20b173a737de7d162adec41c1acb719,936,694,242,0.7414529914529915
seed42,42,aVF;V5,5;10,056f6116d49e398f1235a820666459e66fb18df8c83d9834aa2578456d46f7e9,936,698,238,0.7457264957264957
seed42,42,aVF;V6,5;11,974c95b5e21f4c8c985794f2d2a9b68a61b710750ec465b075813ca6416feb25,936,696,240,0.7435897435897436
seed42,42,V1;V2,6;7,5a486378cf589faecfa3ed9b76732ef78f58f92356bb8542187569fda451f820,936,722,214,0.7713675213675214
seed42,42,V1;V3,6;8,699368ff8665af7bbfc1d73e57a5f2d330f47c2c878be23bfba8def959f36d77,936,702,234,0.75
seed42,42,V1;V4,6;9,aeb5f848b38f265d8a4d17ef8afaca5884104a34e485fcce2c0a1dc7d3fc918c,936,712,224,0.7606837606837606
seed42,42,V1;V5,6;10,0d1625e8a6a27583d3420dd53d5e7e121e80186295e0f0c44de611fcaa65de97,936,705,231,0.7532051282051282
seed42,42,V1;V6,6;11,cd79261eeda07f4ad9b2841d2c81c51f68dafa2b120faf09979da9d7bb59d7e8,936,706,230,0.7542735042735043
seed42,42,V2;V3,7;8,0fa5f0bd4e2852ca6b67231a18ecb0ad97cea6f6810a750f01d2a8cace982de8,936,697,239,0.7446581196581197
seed42,42,V2;V4,7;9,366883d64e00741e8e4d809b9c78ece92563c82e16a97c45cef70e1cbdcb2629,936,694,242,0.7414529914529915
seed42,42,V2;V5,7;10,1c797ab9e063077b3a3e4a23906fa5c77ba62e05584fd09a09cc8ec63f852117,936,699,237,0.7467948717948718
seed42,42,V2;V6,7;11,995b87bdf121bf331062aa193b18b09617161530e0fb2eeef49f290ceee3e97a,936,705,231,0.7532051282051282
seed42,42,V3;V4,8;9,6b436f7a872a008462be4dc72fdaac3cbea384e1f63b9c1e98a0ed563c72ba50,936,694,242,0.7414529914529915
seed42,42,V3;V5,8;10,cf30bddbe3d9c2e5e9b600beec317466c7a9df89e9a51e124e17e72895229343,936,695,241,0.7425213675213675
seed42,42,V3;V6,8;11,ca69c677edc965bb7c308aa801c5eda8ab2e8960ab30a3461d2848eb565ac065,936,693,243,0.7403846153846154
seed42,42,V4;V5,9;10,51f59abf4ad6978b12de0cee94c5cdcd22c5180d12dc37b9e1ecd90c0a944752,936,688,248,0.7350427350427351
seed42,42,V4;V6,9;11,31d698627e626b24b0069be59bae498b0327095e450f48ce243823084c883f79,936,695,241,0.7425213675213675
seed42,42,V5;V6,10;11,dfaf221f22281ac26145e96a7a3714341b43dfb7370910a9197e736e94de8d90,936,687,249,0.7339743589743589
seed42,42,I;II;III,0;1;2,431a8b64339447f0a216bf1e9ebd93a393d91ccf11b19ed309fe9751cb2be2e0,936,712,224,0.7606837606837606
seed42,42,I;II;aVR,0;1;3,4471a3a0063acad6f73f07e5682ee49156872d58a77147f138d9b9dadaaa1a73,936,710,226,0.7585470085470085
seed42,42,I;II;aVL,0;1;4,93360cc166d56ddace9c2d8a9985e75765b8d495b51773e18f862c6f44be6b46,936,709,227,0.7574786324786325
seed42,42,I;II;aVF,0;1;5,47c682c910c315637dcccea6f8e697e1ef6ce337d60a9ecd7a388b8397d3954e,936,709,227,0.7574786324786325
seed42,42,I;II;V1,0;1;6,a542bd8c6047a4f0c4723b974498a20a1361d23314f3ae8d2a6f9ee250ea14af,936,712,224,0.7606837606837606
seed42,42,I;II;V2,0;1;7,f2269399ad94b69d7f30d5b7b15ce212c79775fcd1672297fadb0f4b51c027f0,936,712,224,0.7606837606837606
seed42,42,I;II;V3,0;1;8,1b6be7f58bbdc529115135eacc4df86381cfcde046a89d2dc80e793bdc05ebf7,936,709,227,0.7574786324786325
seed42,42,I;II;V4,0;1;9,7c4699074aad22a858db1ac2f8bf33cec56e37b77b22fb34feee0e0b4390b355,936,711,225,0.7596153846153846
seed42,42,I;II;V5,0;1;10,b7a478fa3d19f2ddeb6e8fdca8f3b99f5878808ab7115db49043f4a4204537e3,936,702,234,0.75
seed42,42,I;II;V6,0;1;11,965ba69854ea30520abe1e928c90a6ac982f5d516443083c01953c25f06df08f,936,710,226,0.7585470085470085
seed42,42,I;III;aVR,0;2;3,f5a46532c94aa83735659184231ded727ad192e564513f6790ba5ffe4a4d0362,936,713,223,0.7617521367521367
seed42,42,I;III;aVL,0;2;4,9324aff055375960d2424d4ca63496e5c39bf7f022577dd2442e7724521eb708,936,709,227,0.7574786324786325
seed42,42,I;III;aVF,0;2;5,d33bbc1291dfeca79a1266a9b42bc5fb5ac7da27bf126c7da696eedf91d999b6,936,711,225,0.7596153846153846
