model,leads,seed,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10010,0.9161676353024842,0.6927536231884058,0.7915492957746478,0.6891950611107204,0.6957669808722,binary;multiclass,0.9307883183813705,0.6179401993355482,0.7153846153846154,0.5230769230769231,0.9666813639035862,0.9019607843137255,0.8944444444444445,0.9111111111111111,0.9093503124631529,0.6687306501547987,0.6545454545454545,0.6,0.9574709975699066,0.8649386084583902,0.8364116094986808,0.8047493403693932,0.8600702576112412,0.3924050632911392,0.3780487804878049,0.35365853658536583
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10011,0.9145785821133425,0.7072463768115942,0.7871148459383753,0.6913187635582748,0.697973211049342,binary;multiclass,0.9306069860660432,0.6270627062706271,0.7307692307692307,0.5384615384615384,0.9666740152851264,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9079511063946862,0.6790123456790124,0.6666666666666666,0.6060606060606061,0.9570067692074484,0.8719346049046321,0.8443271767810027,0.8311345646437994,0.8612412177985949,0.37662337662337664,0.35365853658536583,0.3170731707317073
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10012,0.9148532332818364,0.6811594202898551,0.7988668555240793,0.69153713932707,0.6983608513816378,binary;multiclass,0.9300820767322008,0.6245847176079734,0.7230769230769231,0.5461538461538461,0.9673500881834215,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9068113036984632,0.6708074534161491,0.6545454545454545,0.6060606060606061,0.9564430633387494,0.8703956343792633,0.841688654353562,0.8179419525065963,0.8638687382189981,0.389937106918239,0.3780487804878049,0.3048780487804878
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10013,0.915618332965497,0.6985507246376812,0.7966101694915254,0.689306427705776,0.6959683450313479,binary;multiclass,0.930893300248139,0.6174496644295302,0.7076923076923077,0.5461538461538461,0.9674015285126396,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9064104075777228,0.6707692307692308,0.6606060606060606,0.6060606060606061,0.957513630786867,0.8688524590163934,0.8390501319261213,0.820580474934037,0.8579568172730908,0.3875,0.3780487804878049,0.3170731707317073
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10014,0.9146472449054661,0.6869565217391305,0.7932011331444759,0.6967863834726221,0.7030526239889776,binary;multiclass,0.9307787745753007,0.6351351351351351,0.7230769230769231,0.5692307692307692,0.9666887125220459,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.9063711040364737,0.6809815950920245,0.6727272727272727,0.6060606060606061,0.9577789041368432,0.8734693877551021,0.8469656992084432,0.8284960422163589,0.8621836979493916,0.39490445859872614,0.3780487804878049,0.32926829268292684
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10015,0.9162461070649108,0.7130434782608696,0.7926657263751763,0.6812558482865979,0.6877972270487877,binary;multiclass,0.930416109944646,0.6086956521739131,0.7,0.5230769230769231,0.9676734273956497,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9074480210666981,0.6707317073170732,0.6666666666666666,0.6121212121212121,0.957082561593156,0.8661202185792349,0.8364116094986808,0.8179419525065963,0.8638258982121437,0.36129032258064514,0.34146341463414637,0.2926829268292683
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10016,0.9153436817970034,0.7014492753623188,0.7960618846694796,0.6853651108780964,0.6919443410626884,binary;multiclass,0.929242221798053,0.6179401993355482,0.7153846153846154,0.5384615384615384,0.9671222810111698,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.908296977557678,0.6708074534161491,0.6545454545454545,0.6,0.9567983401467529,0.8692098092643051,0.841688654353562,0.8337730870712401,0.8612412177985947,0.36942675159235666,0.35365853658536583,0.2804878048780488
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10017,0.9139508080139287,0.6985507246376812,0.790436005625879,0.6937542539554226,0.6997743367529068,binary;multiclass,0.930616529872113,0.6158940397350994,0.7153846153846154,0.5230769230769231,0.9659611992945325,0.9044943820224719,0.8944444444444445,0.9055555555555556,0.9057815509177377,0.6790123456790124,0.6666666666666666,0.6,0.9576699525823887,0.8719346049046321,0.8443271767810027,0.8153034300791556,0.8651253784200605,0.3974358974358974,0.3780487804878049,0.3170731707317073
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10018,0.914975845410628,0.6869565217391305,0.7926657263751763,0.6940949407167583,0.7003168232043964,binary;multiclass,0.9302252338232488,0.62,0.7153846153846154,0.5153846153846153,0.9662257495590829,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9072908069017018,0.6687306501547987,0.6545454545454545,0.593939393939394,0.9571394058824365,0.8746594005449592,0.8469656992084432,0.8232189973614775,0.8623264979722397,0.40764331210191085,0.3902439024390244,0.32926829268292684
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10019,0.9149660364403247,0.7043478260869566,0.7926657263751763,0.6837165928427072,0.6903760095722256,binary;multiclass,0.9303874785264363,0.6138613861386139,0.7153846153846154,0.5384615384615384,0.967283950617284,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9069527964469599,0.6583850931677019,0.6424242424242425,0.593939393939394,0.9564904335798164,0.8622100954979536,0.8337730870712401,0.8153034300791556,0.8631975781116125,0.3821656050955414,0.36585365853658536,0.34146341463414637
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10020,0.9139017631624121,0.6840579710144927,0.788135593220339,0.6894806706674597,0.6962799033916867,binary;multiclass,0.9303874785264363,0.6241610738255033,0.7153846153846154,0.5384615384615384,0.9673427395649618,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9061981684549779,0.672782874617737,0.6666666666666666,0.6,0.957215198268144,0.8688524590163934,0.8390501319261213,0.8073878627968337,0.8590849374535899,0.3821656050955414,0.36585365853658536,0.32926829268292684
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10021,0.9132739890629982,0.6811594202898551,0.7842031029619182,0.697417559980867,0.7052604142680725,binary;multiclass,0.930482916587135,0.6274509803921569,0.7384615384615385,0.5846153846153846,0.9678130511463845,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9076523994811931,0.6728971962616822,0.6545454545454545,0.593939393939394,0.957314675774385,0.869684499314129,0.8364116094986808,0.8153034300791556,0.8620408979265437,0.41509433962264153,0.4024390243902439,0.3170731707317073
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10022,0.9144559699845508,0.7043478260869566,0.7853107344632768,0.6887883972954072,0.6939150948514485,binary;multiclass,0.9302443214353885,0.6195286195286195,0.7076923076923077,0.5384615384615384,0.9670047031158143,0.8994413407821229,0.8944444444444445,0.9111111111111111,0.9062846362457256,0.6625,0.6424242424242425,0.5878787878787879,0.9571820390993969,0.8675675675675676,0.8469656992084432,0.8126649076517151,0.8616124978579996,0.39490445859872614,0.3780487804878049,0.3170731707317073
P1_a07,0;1;2;3;4;5;6;7;8;9;10;11,10023,0.9158684617082322,0.6869565217391305,0.7920792079207921,0.6937540887129682,0.7001006770792471,binary;multiclass,0.9316377171215882,0.6225165562913907,0.7230769230769231,0.5461538461538461,0.9666813639035862,0.9019607843137255,0.8944444444444445,0.9111111111111111,0.9076917030224423,0.6749226006191951,0.6606060606060606,0.6121212121212121,0.9582336584510879,0.8719346049046321,0.8443271767810027,0.8258575197889182,0.8634688981550237,0.3974358974358974,0.3780487804878049,0.3048780487804878
