leads,seed,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy
II;aVR;V1;V2,20006,0.9145246327766743,0.6608695652173913,0.7920792079207921,0.7024033177153765,0.7102747954578831,binary;multiclass,0.9324107654132467,0.6405228758169934,0.7538461538461538,0.6076923076923076,0.9666519694297473,0.9,0.9,0.9,0.9025979640765632,0.6850152905198776,0.6787878787878788,0.6242424242424243,0.9585747241867714,0.8626373626373627,0.8284960422163589,0.8284960422163589,0.8665390986462557,0.423841059602649,0.3902439024390244,0.3780487804878049
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20007,0.9151769293018466,0.7072463768115942,0.7943661971830986,0.6879283212814451,0.6936989487262992,binary;multiclass,0.9317426989883566,0.62,0.7153846153846154,0.5384615384615384,0.9671810699588478,0.9044943820224719,0.8944444444444445,0.9111111111111111,0.9077231458554416,0.6645962732919255,0.6484848484848484,0.5696969696969697,0.9572578314851043,0.8683853459972863,0.8443271767810027,0.8258575197889182,0.8632118581138972,0.3821656050955414,0.36585365853658536,0.35365853658536583
I;aVR,20007,0.9139753304396872,0.6898550724637681,0.7909604519774012,0.691995135980391,0.6997804451520906,binary;multiclass,0.9306642489024622,0.6445182724252492,0.7461538461538462,0.5769230769230769,0.9662624926513815,0.8895027624309392,0.8944444444444445,0.9055555555555556,0.8999646268128759,0.6829268292682927,0.6787878787878788,0.6303030303030303,0.9499249181679087,0.8563611491108071,0.8258575197889182,0.7994722955145118,0.8721368595418975,0.38666666666666666,0.35365853658536583,0.32926829268292684
II,20007,0.9123715637950907,0.6405797101449275,0.7833333333333333,0.6864390796860078,0.6963663360400603,binary;multiclass,0.9312177896545143,0.6711409395973155,0.7692307692307693,0.6230769230769231,0.9669165196942974,0.8969359331476323,0.8944444444444445,0.9055555555555556,0.8890225209291359,0.6547619047619048,0.6666666666666666,0.5818181818181818,0.944003638034514,0.8480662983425414,0.8100263852242744,0.7915567282321899,0.8519163763066202,0.36129032258064514,0.34146341463414637,0.3170731707317073
II;aVR;V1;V2,20007,0.9150445082027514,0.6898550724637681,0.7875354107648725,0.6950904452152975,0.7025048896945415,binary;multiclass,0.9332029013170452,0.6343042071197411,0.7538461538461538,0.5846153846153846,0.9669753086419752,0.8913649025069638,0.8888888888888888,0.9,0.9033840349015447,0.6666666666666666,0.6606060606060606,0.5818181818181818,0.9577741671127363,0.8641975308641975,0.8311345646437994,0.8337730870712401,0.8691523390643743,0.4189189189189189,0.3780487804878049,0.4146341463414634
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20008,0.9146668628460728,0.7072463768115942,0.790436005625879,0.6939748840786444,0.701840196756858,binary;multiclass,0.9309887383088375,0.6270627062706271,0.7307692307692307,0.5461538461538461,0.9661522633744857,0.8994413407821229,0.8944444444444445,0.9055555555555556,0.906866328656212,0.6561514195583596,0.6303030303030303,0.6060606060606061,0.9570872986172625,0.8700410396716827,0.8390501319261213,0.8179419525065963,0.8617838578854172,0.4171779141104294,0.4146341463414634,0.36585365853658536
I;aVR,20008,0.9133867922214867,0.7043478260869566,0.7887323943661971,0.6854268261747487,0.6931050024119075,binary;multiclass,0.9288604695552587,0.6447368421052632,0.7538461538461538,0.5538461538461539,0.9661449147560258,0.8864265927977839,0.8888888888888888,0.9055555555555556,0.8987619384506542,0.676923076923077,0.6666666666666666,0.6242424242424243,0.9514928731472313,0.8653061224489796,0.8390501319261213,0.8100263852242744,0.8703375792540127,0.35374149659863946,0.3170731707317073,0.3780487804878049
II,20008,0.9103411069422986,0.6608695652173913,0.7856154910096819,0.6892754707431434,0.7000193477643764,binary;multiclass,0.9295571673983586,0.6644295302013423,0.7615384615384615,0.6692307692307692,0.9656819517930629,0.8895027624309392,0.8944444444444445,0.9055555555555556,0.8869237118264356,0.6588235294117647,0.6787878787878788,0.5757575757575758,0.9430420221408506,0.8440111420612814,0.7994722955145118,0.7915567282321899,0.845061975209916,0.38961038961038963,0.36585365853658536,0.3780487804878049
II;aVR;V1;V2,20008,0.9158782706785356,0.6898550724637681,0.7954866008462623,0.7031971990871598,0.711712902938207,binary;multiclass,0.9333174269898836,0.6493506493506493,0.7692307692307693,0.5923076923076923,0.9668209876543209,0.8919667590027701,0.8944444444444445,0.9,0.9025901033683136,0.6787878787878788,0.6787878787878788,0.6181818181818182,0.9581389179689536,0.863448275862069,0.8258575197889182,0.8126649076517151,0.8661392585822815,0.43243243243243246,0.3902439024390244,0.3780487804878049
I;II;III;aVR;aVL;aVF;V1;V2;V3;V4;V5;V6,20009,0.9147943794600162,0.7159420289855073,0.7909604519774012,0.694768240451169,0.7014842924985147,binary;multiclass,0.9307024241267418,0.6204620462046204,0.7230769230769231,0.5384615384615384,0.9669826572604351,0.9019607843137255,0.8944444444444445,0.9055555555555556,0.9069527964469599,0.6749226006191951,0.6606060606060606,0.5818181818181818,0.9575610010279342,0.8688524590163934,0.8390501319261213,0.820580474934037,0.8622408179585308,0.40764331210191085,0.3902439024390244,0.32926829268292684
I;aVR,20009,0.9156232374506487,0.6985507246376812,0.7932489451476793,0.7077727165366026,0.7155801946657213,binary;multiclass,0.9300248138957816,0.6491803278688525,0.7615384615384615,0.5538461538461539,0.9657921810699588,0.8895027624309392,0.8944444444444445,0.9055555555555556,0.9015917934205872,0.691358024691358,0.6787878787878788,0.6303030303030303,0.9508960081097853,0.8614540466392319,0.8284960422163589,0.7968337730870713,0.8729508196721312,0.4473684210526316,0.4146341463414634,0.4268292682926829
II,20009,0.9120772946859903,0.6492753623188405,0.7839335180055401,0.6873925713581612,0.6975394031999991,binary;multiclass,0.9302061462111091,0.6578073089700996,0.7615384615384615,0.6615384615384615,0.9665931804820693,0.8888888888888888,0.8888888888888888,0.9055555555555556,0.8888888888888888,0.650887573964497,0.6666666666666666,0.5575757575757576,0.9437620498050715,0.8472222222222222,0.8047493403693932,0.7915567282321899,0.8466470554635288,0.39215686274509803,0.36585365853658536,0.4024390243902439
II;aVR;V1;V2,20009,0.9152554010642733,0.7159420289855073,0.7909604519774012,0.7096147397116475,0.7185265437096314,binary;multiclass,0.9330692880320671,0.6601307189542484,0.7769230769230769,0.5923076923076923,0.967688124632569,0.9,0.9,0.9,0.9014738827968399,0.6990881458966566,0.696969696969697,0.6060606060606061,0.9580678626073529,0.8650137741046832,0.8284960422163589,0.8258575197889182,0.8623122179699548,0.423841059602649,0.3902439024390244,0.36585365853658536
