model,n_leads,lead_indices,lead_names,n_samples,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy,runtime_sec,seed,checkpoint_sha256,data_fingerprint,run_fingerprint,prediction_sha256
P1_a07,4,3;4;5;10,aVR;aVL;aVF;V5,936,0.9154417715000367,0.6927536231884058,0.7827298050139275,0.6822904064397436,0.6924853119151336,binary;multiclass,0.92945218553159,0.6291390728476821,0.7307692307692307,0.5615384615384615,0.9649323927101705,0.8913649025069638,0.8888888888888888,0.9111111111111111,0.9076523994811933,0.65,0.6303030303030303,0.5757575757575758,0.9513649734963501,0.850415512465374,0.8100263852242744,0.7941952506596306,0.8664391386302622,0.3905325443786982,0.4024390243902439,0.3170731707317073,6.564565500000754,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,6b4f9215914edcf25b256da474d13322a93e5c8bc4b86fd6238b3abb7c646c09
P1_a07,4,3;4;5;11,aVR;aVL;aVF;V6,936,0.9147943794600162,0.6811594202898551,0.7955182072829131,0.6811392953229365,0.6896958351228253,binary;multiclass,0.9298339377743845,0.6302250803858521,0.7538461538461538,0.5307692307692308,0.9662551440329218,0.8944444444444445,0.8944444444444445,0.9055555555555556,0.901521047046339,0.6666666666666666,0.6424242424242425,0.593939393939394,0.9502754579518056,0.8590971272229823,0.8284960422163589,0.7915567282321899,0.8705374992859999,0.35526315789473684,0.32926829268292684,0.3048780487804878,6.568613899999036,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,63a2441fa84e62b39bf75db7482c0075c55681a32d05fc4a351f6a2cc0887ec1
P1_a07,4,3;4;6;7,aVR;aVL;V1;V2,936,0.9139655214693838,0.6811594202898551,0.7858156028368795,0.6937321135642921,0.7011212742752739,binary;multiclass,0.9316663485397977,0.6426229508196721,0.7538461538461538,0.5692307692307692,0.9675558495002939,0.8938547486033519,0.8888888888888888,0.9,0.9013559721730928,0.6687116564417178,0.6606060606060606,0.6121212121212121,0.9572057242199304,0.8661202185792349,0.8364116094986808,0.8179419525065963,0.8667104586736734,0.3973509933774834,0.36585365853658536,0.34146341463414637,6.577131099998951,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,39da0e2fd2e5392247ef79c1eac103b0585073102de1379a1375f222807aee95
P1_a07,4,3;4;6;8,aVR;aVL;V1;V3,936,0.9128669167954094,0.6695652173913044,0.7887323943661971,0.6905337130793053,0.69729066044466,binary;multiclass,0.9303970223325062,0.6287625418060201,0.7230769230769231,0.5615384615384615,0.9663800705467371,0.8969359331476323,0.8944444444444445,0.9055555555555556,0.9068506072397123,0.668693009118541,0.6666666666666666,0.5818181818181818,0.9540413921166444,0.8661202185792349,0.8364116094986808,0.8126649076517151,0.8681241788998686,0.39215686274509803,0.36585365853658536,0.32926829268292684,6.571139499999845,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,31b89b5b2253ae22d0f7827317822748043d7aa105f5cf6a31d035f114e9f5a1
P1_a07,4,3;4;6;9,aVR;aVL;V1;V4,936,0.9156722823021654,0.6927536231884058,0.7909604519774012,0.6974041753981267,0.7062268254230413,binary;multiclass,0.9298339377743844,0.6402640264026402,0.7461538461538462,0.5538461538461539,0.9639991181657849,0.8919667590027701,0.8944444444444445,0.9055555555555556,0.9128797704673192,0.6909090909090909,0.6909090909090909,0.5757575757575758,0.9550977484924421,0.8717241379310345,0.8337730870712401,0.8232189973614775,0.8593276974924315,0.39215686274509803,0.36585365853658536,0.3170731707317073,6.569329699999798,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,6030efd9436c21a37307bf575a81163ce6c24bd5b1250fd20bf500c3633c3989
P1_a07,4,3;4;6;10,aVR;aVL;V1;V5,936,0.9162166801540008,0.6956521739130435,0.7791842475386779,0.6813932816869605,0.6893137926563501,binary;multiclass,0.9305210918114143,0.6319218241042345,0.7461538461538462,0.5307692307692308,0.9654761904761905,0.8938547486033519,0.8888888888888888,0.9055555555555556,0.9127775812600715,0.6625386996904025,0.6484848484848484,0.593939393939394,0.9559788349762912,0.8633879781420765,0.8337730870712401,0.8284960422163589,0.8622550979608157,0.35526315789473684,0.32926829268292684,0.34146341463414637,6.563970200000767,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,66032be827a6d0633e45d9df23db096adbc08975ffcb680e1d00a3028ba11ed3
P1_a07,4,3;4;6;11,aVR;aVL;V1;V6,936,0.9153731087079133,0.6927536231884058,0.790436005625879,0.6901614065616083,0.6998739912653291,binary;multiclass,0.9337850734873068,0.6472491909385113,0.7692307692307693,0.5307692307692308,0.9671075837742505,0.8944444444444445,0.8944444444444445,0.9055555555555556,0.908462052430924,0.6848484848484848,0.6848484848484848,0.6424242424242425,0.9570115062315552,0.8705234159779615,0.8337730870712401,0.8126649076517151,0.8667532986805278,0.35374149659863946,0.3170731707317073,0.3780487804878049,6.566943599998922,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,e53832478d4c1c0a4430ddb46e1f61ab38555fe8cf2a73e7c00370d6cfaa5b13
P1_a07,4,3;4;7;8,aVR;aVL;V2;V3,936,0.9134211236175483,0.6811594202898551,0.7921348314606742,0.6889388254683578,0.6959486212423982,binary;multiclass,0.9300057262836419,0.6312292358803987,0.7307692307692307,0.5923076923076923,0.9674897119341563,0.898876404494382,0.8888888888888888,0.9,0.9071100106119562,0.6827794561933535,0.6848484848484848,0.6,0.9536624301881073,0.8633879781420765,0.8337730870712401,0.8021108179419525,0.8622979379676701,0.3684210526315789,0.34146341463414637,0.3048780487804878,6.596283300001232,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,96207faf91cdea93636f7a5cb305888194e465456935c4dd8c66c4095702d089
P1_a07,4,3;4;7;9,aVR;aVL;V2;V4,936,0.9160793545697541,0.6956521739130435,0.7888111888111888,0.6878609464362604,0.6934141846169648,binary;multiclass,0.9298434815804544,0.6262626262626263,0.7153846153846154,0.5769230769230769,0.9644767783656673,0.896358543417367,0.8888888888888888,0.9,0.9117321070628465,0.6809815950920245,0.6727272727272727,0.6,0.9545719388165966,0.8590785907859079,0.8364116094986808,0.8153034300791556,0.857514137202262,0.37662337662337664,0.35365853658536583,0.34146341463414637,6.575500300001295,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,d10930e8ba086d6746021aedfc2017dc9fd597a91a9b48e101435c6c7e711b3b
P1_a07,4,3;4;7;10,aVR;aVL;V2;V5,936,0.9164275730155227,0.7130434782608696,0.7843137254901961,0.685200763914879,0.6921108934468867,binary;multiclass,0.9313323153273525,0.6357615894039735,0.7384615384615385,0.5769230769230769,0.9649617871840095,0.898876404494382,0.8888888888888888,0.9055555555555556,0.9105372794088746,0.6646341463414634,0.6606060606060606,0.6060606060606061,0.9546050979853435,0.8583106267029973,0.8311345646437994,0.8021108179419525,0.8597418175586908,0.3684210526315789,0.34146341463414637,0.35365853658536583,6.568645399998786,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,2b40545b8ea2d514b120a933f3085c2dfbb09f8090a9bdf33789b96c4627754a
P1_a07,4,3;4;7;11,aVR;aVL;V2;V6,936,0.9162362980946075,0.7043478260869566,0.7876230661040787,0.6838633106119236,0.6933737749761947,binary;multiclass,0.9338041610994465,0.6428571428571429,0.7615384615384615,0.6,0.9667548500881834,0.898876404494382,0.8888888888888888,0.9055555555555556,0.9073772746924498,0.6706586826347305,0.6787878787878788,0.6,0.9544961464308892,0.8579310344827586,0.820580474934037,0.8021108179419525,0.8634403381504541,0.348993288590604,0.3170731707317073,0.35365853658536583,6.598020600002201,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,db47c54c7c98c92c87f7b5d7cfc7a7cb2af02f7c85b69ec4f7f6815ad1f79fc5
P1_a07,4,3;4;8;9,aVR;aVL;V3;V4,936,0.9127099732705559,0.6695652173913044,0.786013986013986,0.6903500571322669,0.6971903063865222,binary;multiclass,0.9288700133613285,0.6270627062706271,0.7307692307692307,0.5461538461538461,0.964050558495003,0.8938547486033519,0.8888888888888888,0.9,0.909601855127147,0.6790123456790124,0.6666666666666666,0.6121212121212121,0.9520850011605708,0.8622100954979536,0.8337730870712401,0.7968337730870713,0.858299537327926,0.38961038961038963,0.36585365853658536,0.3170731707317073,6.564930300002743,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,e1e19053733eb74fb4753b0877c46ecdb8c31a443e58db51192d913f93b56610
P1_a07,4,3;4;8;10,aVR;aVL;V3;V5,936,0.9144363520439441,0.6753623188405797,0.7824858757062146,0.6852317854727227,0.6932931447070066,binary;multiclass,0.9302920404657377,0.6217948717948718,0.7461538461538462,0.5769230769230769,0.9646751910640801,0.898876404494382,0.8888888888888888,0.9,0.9108910112801164,0.6728971962616822,0.6545454545454545,0.6,0.9525302814266022,0.8559670781893004,0.8232189973614775,0.7810026385224275,0.8606842977094876,0.37662337662337664,0.35365853658536583,0.3170731707317073,6.574745599999005,42,287148bfd01ac67b5192268c6c69cc4cc230c004bdfdf332285f38a3b43b08dd,c175815089a491399700d9c586c067665dd8b48251196512f77a0b7e2732d91c,34060e20ca6ca6de13d114a5b1b14cf4e1fd9ffccc3f7ec4453bb00d8b5646f1,a2158275df0173142f1abd334cd78ab8821aebdef5ce8bb732fc0cffd6264f4c
