model,n_leads,metric,count,best,median,worst,mean,variance,top_leads
P1_a07,2,sensitivity_nsr,66,0.7846153846153846,0.7384615384615385,0.6230769230769231,0.7362470862470863,0.0008871528626773384,II;V2
P1_a07,2,sens95_nsr,66,0.6384615384615384,0.5384615384615384,0.34615384615384615,0.5374125874125875,0.003040857743654946,II;V2
P1_a07,2,auroc_af,66,0.9681069958847738,0.964730305702528,0.9575470311581423,0.9642656725990059,5.108043807241913e-06,I;III
P1_a07,2,f1_af,66,0.9080779944289693,0.8922643712369223,0.8770949720670391,0.8912313607467954,5.4789042364204437e-05,III;V2
P1_a07,2,sensitivity_af,66,0.9055555555555556,0.8888888888888888,0.8666666666666667,0.8893097643097644,8.727142355088504e-05,I;V1
P1_a07,2,sens95_af,66,0.9222222222222223,0.9111111111111111,0.8944444444444445,0.9094276094276095,4.486503644752785e-05,aVL;V2
P1_a07,2,auroc_ischemia,66,0.9115827536061,0.8998742286680029,0.8383288134260897,0.8952918526141024,0.00021793543926124743,aVR;V4
P1_a07,2,f1_ischemia,66,0.7037037037037037,0.6584587409673356,0.5296167247386759,0.6511180864235353,0.0011865064756690787,aVR;aVF
P1_a07,2,sensitivity_ischemia,66,0.7090909090909091,0.6515151515151515,0.46060606060606063,0.6419651056014694,0.001970460089668704,I;II
P1_a07,2,sens95_ischemia,66,0.6606060606060606,0.5878787878787879,0.4,0.5798898071625346,0.0025268209265204003,II;aVR
P1_a07,2,auroc_conduction,66,0.9637001842702377,0.9508889025736251,0.9432836103702932,0.9519528310106844,2.8049656970838322e-05,aVF;V1
P1_a07,2,f1_conduction,66,0.8975741239892183,0.8593006297271937,0.8449931412894376,0.8628459289629469,0.00012435082651431645,V1;V2
P1_a07,2,sensitivity_conduction,66,0.8786279683377308,0.8271767810026385,0.7941952506596306,0.828296154153674,0.00021946772732032193,V1;V2
P1_a07,2,sens95_conduction,66,0.862796833773087,0.8073878627968337,0.7810026385224275,0.8135843927400656,0.0004188667378969463,III;V1
P1_a07,2,auroc_ectopy,66,0.8834180613468898,0.8660321585651454,0.8396070143371223,0.8629589289825195,0.00010292553898910562,III;aVL
P1_a07,2,f1_ectopy,66,0.4713375796178344,0.35986590038314176,0.2482758620689655,0.3599603681101129,0.0014375137008942579,V1;V2
P1_a07,2,sensitivity_ectopy,66,0.45121951219512196,0.32926829268292684,0.21951219512195122,0.3337028824833702,0.0016973859518881421,V1;V2
P1_a07,2,sens95_ectopy,66,0.5121951219512195,0.34146341463414637,0.25609756097560976,0.3499630450849963,0.0019828100921605875,V1;V2
P1_a07,3,macro_f1,220,0.7037429913400561,0.6835658845696404,0.6564166706831814,0.6821716758655975,7.520767116907428e-05,aVR;V1;V6
P1_a07,3,macro_sensitivity,220,0.7125336515741304,0.6922813818383031,0.6663005022378213,0.690665374102652,7.682991247737058e-05,aVR;V1;V6
P1_a07,3,binary_auroc,220,0.920346256651708,0.9140685156575689,0.897613967973712,0.9133846743756255,1.1457373654651295e-05,aVR;V2;V4
P1_a07,3,sens_at_95sp,220,0.7072463768115942,0.6782608695652174,0.6289855072463768,0.6766534914361002,0.00023663269574938277,I;aVR;V4
P1_a07,3,auroc_nsr,220,0.9344054208818476,0.928631418209582,0.915346440160336,0.9278723819604714,1.1547359796312269e-05,aVR;V1;V6
P1_a07,3,f1_nsr,220,0.662379421221865,0.6286669851887243,0.5816993464052288,0.6287176861173878,0.0002679628894036643,aVR;V1;V6
