category,leads,metric,seeds,mean,std,min,max,paired_mean_delta_vs12,paired_min_delta_vs12,paired_max_delta_vs12,fraction_strictly_better_vs12
chest_included,II;aVR;V1;V2,macro_f1,10,0.7033130192619756,0.004887781223180104,0.6950904452152975,0.7115042280904275,0.01271581664055894,0.0035749799785348424,0.02287654648894133,1.0
chest_included,II;aVR;V1;V2,macro_sensitivity,10,0.7112040941375519,0.0050916122300326905,0.7025048896945415,0.7185265437096314,0.01386549295996493,0.004969729271807832,0.022412026125907314,1.0
chest_included,II;aVR;V1;V2,auroc_af,10,0.9673023221634331,0.0005265911718805527,0.9666078777189889,0.9680261610817167,0.00029174015285126086,-0.0003380364491474275,0.0007642563198119179,0.6
chest_included,II;aVR;V1;V2,f1_af,10,0.8966075299001975,0.0037043794748469728,0.8913649025069638,0.9,-0.0038472263094176174,-0.013129479515508136,0.0005586592178771221,0.3
chest_included,II;aVR;V1;V2,sensitivity_af,10,0.8961111111111111,0.004573736679714271,0.8888888888888888,0.9,0.0016666666666666386,-0.005555555555555647,0.005555555555555536,0.5
chest_included,II;aVR;V1;V2,sens95_af,10,0.9,0.0,0.9,0.9,-0.006666666666666643,-0.011111111111111072,-0.005555555555555536,0.0
chest_included,II;aVR;V1;V2,auroc_ischemia,10,0.9027465314624846,0.0009046339937611956,0.9014738827968399,0.9043823448492708,-0.0042589317297488495,-0.0054789136501199875,-0.0033565224226702606,0.0
chest_included,II;aVR;V1;V2,f1_ischemia,10,0.6847504988992399,0.009838155114840333,0.6666666666666666,0.6990881458966566,0.016032412727116852,0.0020703933747411307,0.03035863219349455,1.0
chest_included,II;aVR;V1;V2,sensitivity_ischemia,10,0.6799999999999999,0.012053683951657625,0.6606060606060606,0.696969696969697,0.026060606060606097,0.012121212121212088,0.048484848484848575,1.0
chest_included,II;aVR;V1;V2,sens95_ischemia,10,0.6133333333333334,0.013641974154451826,0.5818181818181818,0.6303030303030303,0.020606060606060593,0.006060606060605989,0.042424242424242475,1.0
chest_included,II;aVR;V1;V2,auroc_conduction,10,0.958031387521731,0.0004057408552606278,0.9573241498225984,0.9585747241867714,0.0006863947930631498,-0.0002226401330155392,0.001473214497188624,0.9
chest_included,II;aVR;V1;V2,f1_conduction,10,0.8673269279629524,0.00369933194479078,0.8626373626373627,0.873972602739726,-0.002165913936480446,-0.008110936682365177,0.002829986582932098,0.4
chest_included,II;aVR;V1;V2,sensitivity_conduction,10,0.8340369393139841,0.0058933564002641775,0.8258575197889182,0.841688654353562,-0.007124010554089721,-0.0158311345646438,0.0026385224274405594,0.1
chest_included,II;aVR;V1;V2,sens95_conduction,10,0.8300791556728233,0.007273904354665011,0.8126649076517151,0.8390501319261213,0.008443271767810035,-0.00527704485488123,0.02110817941952514,0.8
chest_included,II;aVR;V1;V2,auroc_ectopy,10,0.8660364425658308,0.0022192203764701767,0.8623122179699548,0.8695093391214942,0.0038556006168961043,7.140001142402763e-05,0.005940480950477056,1.0
chest_included,II;aVR;V1;V2,f1_ectopy,10,0.4190148270195858,0.014132809492374093,0.3972602739726027,0.44,0.028142318069234406,0.0061195406153072285,0.07888085069293121,1.0
chest_included,II;aVR;V1;V2,sensitivity_ectopy,10,0.3804878048780488,0.014991129198850235,0.35365853658536583,0.4024390243902439,0.004878048780487809,-0.02439024390243899,0.06097560975609756,0.3
chest_included,II;aVR;V1;V2,sens95_ectopy,10,0.375609756097561,0.020567659578330927,0.35365853658536583,0.4146341463414634,0.04268292682926829,0.0,0.09756097560975613,0.9
limb_only,I;aVR,macro_f1,10,0.6958447005003096,0.006933936433692125,0.6854268261747487,0.7077727165366026,0.005247497878892804,-0.008548057903895678,0.015673424797907676,0.7
limb_only,I;aVR,macro_sensitivity,10,0.7032332528430731,0.007199797458890169,0.6931050024119075,0.7155801946657213,0.005894651665486294,-0.008735194344950514,0.01641792441136014,0.8
limb_only,I;aVR,auroc_af,10,0.9660574661963551,0.0006598265547363919,0.9653071722516168,0.9674456202233981,-0.0009531158142269125,-0.0018298059964725333,2.939447383898397e-05,0.1
limb_only,I;aVR,f1_af,10,0.887223911008407,0.0028463223954352176,0.8808864265927978,0.8913649025069638,-0.013230845201208097,-0.021074357720927694,-0.008076438275159137,0.0
limb_only,I;aVR,sensitivity_af,10,0.8872222222222221,0.005270462766947314,0.8777777777777778,0.8944444444444445,-0.007222222222222285,-0.01666666666666672,0.0,0.0
limb_only,I;aVR,sens95_af,10,0.9044444444444444,0.0023424278964210136,0.9,0.9055555555555556,-0.0022222222222222144,-0.005555555555555536,0.0,0.0
limb_only,I;aVR,auroc_ischemia,10,0.899917462563377,0.0013067388195017423,0.8982116888731676,0.9019376645835788,-0.007088000628856672,-0.008371654286051244,-0.0052116495696263865,0.0
limb_only,I;aVR,f1_ischemia,10,0.6857230570355772,0.006982531366860719,0.672782874617737,0.6932515337423313,0.017004970863454115,-0.00622947106127536,0.03080756597576162,0.9
limb_only,I;aVR,sensitivity_ischemia,10,0.6763636363636364,0.006514955756200858,0.6666666666666666,0.6848484848484848,0.022424242424242437,0.0,0.036363636363636376,0.9
limb_only,I;aVR,sens95_ischemia,10,0.6284848484848484,0.012792840564838445,0.6,0.6424242424242425,0.03575757575757575,0.0,0.06060606060606066,0.9
limb_only,I;aVR,auroc_conduction,10,0.9508851129543399,0.0007124320824494315,0.9499249181679087,0.9519713125820097,-0.006459879774328126,-0.007332913317195655,-0.005537581180750761,0.0
